PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"33809665","Role of Hybrid Deep Neural Networks (HDNNs), Computed Tomography, and Chest X-rays for the Detection of COVID-19","Irfan M, Iftikhar MA, Yasin S, Draz U, Ali T, Hussain S, Bukhari S, Alwadie AS, Rahman S, Glowacz A, Althobiani F.","Int J Environ Res Public Health. 2021 Mar 16;18(6):3056. doi: 10.3390/ijerph18063056.","Irfan M","Int J Environ Res Public Health","2021","2021/04/03","PMC8002268","","10.3390/ijerph18063056"
"33804609","Hyperparameter Optimization for COVID-19 Pneumonia Diagnosis Based on Chest CT","Lacerda P, Barros B, Albuquerque C, Conci A.","Sensors (Basel). 2021 Mar 20;21(6):2174. doi: 10.3390/s21062174.","Lacerda P","Sensors (Basel)","2021","2021/04/03","PMC8003645","","10.3390/s21062174"
"33802428","COVID-19 Recognition Using Ensemble-CNNs in Two New Chest X-ray Databases","Vantaggiato E, Paladini E, Bougourzi F, Distante C, Hadid A, Taleb-Ahmed A.","Sensors (Basel). 2021 Mar 3;21(5):1742. doi: 10.3390/s21051742.","Vantaggiato E","Sensors (Basel)","2021","2021/04/03","PMC7959300","","10.3390/s21051742"
"33799220","Exploring the effect of image enhancement techniques on COVID-19 detection using chest X-ray images","Rahman T, Khandakar A, Qiblawey Y, Tahir A, Kiranyaz S, Abul Kashem SB, Islam MT, Al Maadeed S, Zughaier SM, Khan MS, Chowdhury MEH.","Comput Biol Med. 2021 May;132:104319. doi: 10.1016/j.compbiomed.2021.104319. Epub 2021 Mar 11.","Rahman T","Comput Biol Med","2021","2021/04/02","PMC7946571","","10.1016/j.compbiomed.2021.104319"
"33799219","An automated COVID-19 detection based on fused dynamic exemplar pyramid feature extraction and hybrid feature selection using deep learning","Ozyurt F, Tuncer T, Subasi A.","Comput Biol Med. 2021 May;132:104356. doi: 10.1016/j.compbiomed.2021.104356. Epub 2021 Mar 27.","Ozyurt F","Comput Biol Med","2021","2021/04/02","PMC7997855","","10.1016/j.compbiomed.2021.104356"
"33780867","Deep learning for diagnosis of COVID-19 using 3D CT scans","Serte S, Demirel H.","Comput Biol Med. 2021 May;132:104306. doi: 10.1016/j.compbiomed.2021.104306. Epub 2021 Mar 10.","Serte S","Comput Biol Med","2021","2021/03/29","PMC7943389","","10.1016/j.compbiomed.2021.104306"
"33778966","A Cascade-SEME network for COVID-19 detection in chest x-ray images","Lv D, Wang Y, Wang S, Zhang Q, Qi W, Li Y, Sun L.","Med Phys. 2021 May;48(5):2337-2353. doi: 10.1002/mp.14711. Epub 2021 Mar 29.","Lv D","Med Phys","2021","2021/03/29","PMC8250185","","10.1002/mp.14711"
"33774272","Deep-chest: Multi-classification deep learning model for diagnosing COVID-19, pneumonia, and lung cancer chest diseases","Ibrahim DM, Elshennawy NM, Sarhan AM.","Comput Biol Med. 2021 May;132:104348. doi: 10.1016/j.compbiomed.2021.104348. Epub 2021 Mar 19.","Ibrahim DM","Comput Biol Med","2021","2021/03/28","PMC7977039","","10.1016/j.compbiomed.2021.104348"
"33763196","Metaheuristic-based Deep COVID-19 Screening Model from Chest X-Ray Images","Kaur M, Kumar V, Yadav V, Singh D, Kumar N, Das NN.","J Healthc Eng. 2021 Mar 1;2021:8829829. doi: 10.1155/2021/8829829. eCollection 2021.","Kaur M","J Healthc Eng","2021","2021/03/25","PMC7946481","","10.1155/2021/8829829"
"33761909","Deep learning diagnostic and risk-stratification pattern detection for COVID-19 in digital lung auscultations: clinical protocol for a case-control and prospective cohort study","Glangetas A, Hartley MA, Cantais A, Courvoisier DS, Rivollet D, Shama DM, Perez A, Spechbach H, Trombert V, Bourquin S, Jaggi M, Barazzone-Argiroffo C, Gervaix A, Siebert JN.","BMC Pulm Med. 2021 Mar 24;21(1):103. doi: 10.1186/s12890-021-01467-w.","Glangetas A","BMC Pulm Med","2021","2021/03/25","PMC7988633","","10.1186/s12890-021-01467-w"
"33757196","A deep learning-based medication behavior monitoring system","Roh H, Shin S, Han J, Lim S.","Math Biosci Eng. 2021 Jan 28;18(2):1513-1528. doi: 10.3934/mbe.2021078.","Roh H","Math Biosci Eng","2021","2021/03/24","","","10.3934/mbe.2021078"
"33755565","Mini-COVIDNet: Efficient Lightweight Deep Neural Network for Ultrasound Based Point-of-Care Detection of COVID-19","Awasthi N, Dayal A, Cenkeramaddi LR, Yalavarthy PK.","IEEE Trans Ultrason Ferroelectr Freq Control. 2021 Jun;68(6):2023-2037. doi: 10.1109/TUFFC.2021.3068190. Epub 2021 May 25.","Awasthi N","IEEE Trans Ultrason Ferroelectr Freq Control","2021","2021/03/23","","","10.1109/TUFFC.2021.3068190"
"33753268","Knowledge discovery from emergency ambulance dispatch during COVID-19: A case study of Nagoya City, Japan","Rashed EA, Kodera S, Shirakami H, Kawaguchi R, Watanabe K, Hirata A.","J Biomed Inform. 2021 May;117:103743. doi: 10.1016/j.jbi.2021.103743. Epub 2021 Mar 20.","Rashed EA","J Biomed Inform","2021","2021/03/23","","","10.1016/j.jbi.2021.103743"
"33747419","Deep Learning in the Detection and Diagnosis of COVID-19 Using Radiology Modalities: A Systematic Review","Ghaderzadeh M, Asadi F.","J Healthc Eng. 2021 Mar 15;2021:6677314. doi: 10.1155/2021/6677314. eCollection 2021.","Ghaderzadeh M","J Healthc Eng","2021","2021/03/22","PMC7958142","","10.1155/2021/6677314"
"33747417","Computer-Aided Diagnosis of COVID-19 CT Scans Based on Spatiotemporal Information Fusion","Li T, Wei W, Cheng L, Zhao S, Xu C, Zhang X, Zeng Y, Gu J.","J Healthc Eng. 2021 Mar 3;2021:6649591. doi: 10.1155/2021/6649591. eCollection 2021.","Li T","J Healthc Eng","2021","2021/03/22","PMC7954614","","10.1155/2021/6649591"
"33731417","Specificity of SARS-CoV-2 Real-Time PCR Improved by Deep Learning Analysis","Alouani DJ, Rajapaksha RRP, Jani M, Rhoads DD, Sadri N.","J Clin Microbiol. 2021 May 19;59(6):e02959-20. doi: 10.1128/JCM.02959-20. Print 2021 May 19.","Alouani DJ","J Clin Microbiol","2021","2021/03/18","","","10.1128/JCM.02959-20"
"33721736","Deep learning model for virtual screening of novel 3C-like protease enzyme inhibitors against SARS coronavirus diseases","Kumari M, Subbarao N.","Comput Biol Med. 2021 May;132:104317. doi: 10.1016/j.compbiomed.2021.104317. Epub 2021 Mar 6.","Kumari M","Comput Biol Med","2021","2021/03/15","PMC7935676","","10.1016/j.compbiomed.2021.104317"
"33713140","Transfer learning for mobile real-time face mask detection and localization","Mercaldo F, Santone A.","J Am Med Inform Assoc. 2021 Jul 14;28(7):1548-1554. doi: 10.1093/jamia/ocab052.","Mercaldo F","J Am Med Inform Assoc","2021","2021/03/13","PMC7989332","","10.1093/jamia/ocab052"
"33711739","Deep metric learning-based image retrieval system for chest radiograph and its clinical applications in COVID-19","Zhong A, Li X, Wu D, Ren H, Kim K, Kim Y, Buch V, Neumark N, Bizzo B, Tak WY, Park SY, Lee YR, Kang MK, Park JG, Kim BS, Chung WJ, Guo N, Dayan I, Kalra MK, Li Q.","Med Image Anal. 2021 May;70:101993. doi: 10.1016/j.media.2021.101993. Epub 2021 Feb 7.","Zhong A","Med Image Anal","2021","2021/03/12","PMC8032481","","10.1016/j.media.2021.101993"
"33711543","Explainable automated coding of clinical notes using hierarchical label-wise attention networks and label embedding initialisation","Dong H, Suárez-Paniagua V, Whiteley W, Wu H.","J Biomed Inform. 2021 Apr;116:103728. doi: 10.1016/j.jbi.2021.103728. Epub 2021 Mar 9.","Dong H","J Biomed Inform","2021","2021/03/12","","","10.1016/j.jbi.2021.103728"
"33706149","Automatic deep learning-based pleural effusion classification in lung ultrasound images for respiratory pathology diagnosis","Tsai CH, van der Burgt J, Vukovic D, Kaur N, Demi L, Canty D, Wang A, Royse A, Royse C, Haji K, Dowling J, Chetty G, Fontanarosa D.","Phys Med. 2021 Mar;83:38-45. doi: 10.1016/j.ejmp.2021.02.023. Epub 2021 Mar 8.","Tsai CH","Phys Med","2021","2021/03/11","","","10.1016/j.ejmp.2021.02.023"
"33686818","Prediction of Patient Management in COVID-19 Using Deep Learning-Based Fully Automated Extraction of Cardiothoracic CT Metrics and Laboratory Findings","Weikert T, Rapaka S, Grbic S, Re T, Chaganti S, Winkel DJ, Anastasopoulos C, Niemann T, Wiggli BJ, Bremerich J, Twerenbold R, Sommer G, Comaniciu D, Sauter AW.","Korean J Radiol. 2021 Jun;22(6):994-1004. doi: 10.3348/kjr.2020.0994. Epub 2021 Feb 24.","Weikert T","Korean J Radiol","2021","2021/03/09","PMC8154782","","10.3348/kjr.2020.0994"
"33680071","COVID-19 in Iran: Forecasting Pandemic Using Deep Learning","Kafieh R, Arian R, Saeedizadeh N, Amini Z, Serej ND, Minaee S, Yadav SK, Vaezi A, Rezaei N, Haghjooy Javanmard S.","Comput Math Methods Med. 2021 Feb 25;2021:6927985. doi: 10.1155/2021/6927985. eCollection 2021.","Kafieh R","Comput Math Methods Med","2021","2021/03/08","PMC7907749","","10.1155/2021/6927985"
"33674830","COVID-19 SignSym: a fast adaptation of a general clinical NLP tool to identify and normalize COVID-19 signs and symptoms to OMOP common data model","Wang J, Abu-El-Rub N, Gray J, Pham HA, Zhou Y, Manion FJ, Liu M, Song X, Xu H, Rouhizadeh M, Zhang Y.","J Am Med Inform Assoc. 2021 Jun 12;28(6):1275-1283. doi: 10.1093/jamia/ocab015.","Wang J","J Am Med Inform Assoc","2021","2021/03/06","PMC7989301","","10.1093/jamia/ocab015"
"33674378","Development of a convolutional neural network to differentiate among the etiology of similar appearing pathological B lines on lung ultrasound: a deep learning study","Arntfield R, VanBerlo B, Alaifan T, Phelps N, White M, Chaudhary R, Ho J, Wu D.","BMJ Open. 2021 Mar 5;11(3):e045120. doi: 10.1136/bmjopen-2020-045120.","Arntfield R","BMJ Open","2021","2021/03/06","PMC7939003","","10.1136/bmjopen-2020-045120"
"33672585","COVID-19 Detection from Chest X-ray Images Using Feature Fusion and Deep Learning","Alam NA, Ahsan M, Based MA, Haider J, Kowalski M.","Sensors (Basel). 2021 Feb 20;21(4):1480. doi: 10.3390/s21041480.","Alam NA","Sensors (Basel)","2021","2021/03/06","PMC8078171","","10.3390/s21041480"
"33670066","A Deep Learning-Based Camera Approach for Vital Sign Monitoring Using Thermography Images for ICU Patients","Lyra S, Mayer L, Ou L, Chen D, Timms P, Tay A, Chan PY, Ganse B, Leonhardt S, Hoog Antink C.","Sensors (Basel). 2021 Feb 21;21(4):1495. doi: 10.3390/s21041495.","Lyra S","Sensors (Basel)","2021","2021/03/06","PMC7926634","","10.3390/s21041495"
"33654146","COVID-19 salivary Raman fingerprint: innovative approach for the detection of current and past SARS-CoV-2 infections","Carlomagno C, Bertazioli D, Gualerzi A, Picciolini S, Banfi PI, Lax A, Messina E, Navarro J, Bianchi L, Caronni A, Marenco F, Monteleone S, Arienti C, Bedoni M.","Sci Rep. 2021 Mar 2;11(1):4943. doi: 10.1038/s41598-021-84565-3.","Carlomagno C","Sci Rep","2021","2021/03/03","PMC7925543","","10.1038/s41598-021-84565-3"
"33647062","Convolutional neural network model based on radiological images to support COVID-19 diagnosis: Evaluating database biases","Maior CBS, Santana JMM, Lins ID, Moura MJC.","PLoS One. 2021 Mar 1;16(3):e0247839. doi: 10.1371/journal.pone.0247839. eCollection 2021.","Maior CBS","PLoS One","2021","2021/03/01","PMC7920391","","10.1371/journal.pone.0247839"
"33641077","Accurately Discriminating COVID-19 from Viral and Bacterial Pneumonia According to CT Images Via Deep Learning","Zheng F, Li L, Zhang X, Song Y, Huang Z, Chong Y, Chen Z, Zhu H, Wu J, Chen W, Lu Y, Yang Y, Zha Y, Zhao H, Shen J.","Interdiscip Sci. 2021 Jun;13(2):273-285. doi: 10.1007/s12539-021-00420-z. Epub 2021 Feb 27.","Zheng F","Interdiscip Sci","2021","2021/02/28","PMC7914048","","10.1007/s12539-021-00420-z"
"33636127","In vivo structural characterization of the SARS-CoV-2 RNA genome identifies host proteins vulnerable to repurposed drugs","Sun L, Li P, Ju X, Rao J, Huang W, Ren L, Zhang S, Xiong T, Xu K, Zhou X, Gong M, Miska E, Ding Q, Wang J, Zhang QC.","Cell. 2021 Apr 1;184(7):1865-1883.e20. doi: 10.1016/j.cell.2021.02.008. Epub 2021 Feb 9.","Sun L","Cell","2021","2021/02/26","PMC7871767","","10.1016/j.cell.2021.02.008"
"33631640","Artificial Intelligence-Based Prediction of Covid-19 Severity on the Results of Protein Profiling","Yaşar Ş, Çolak C, Yoloğlu S.","Comput Methods Programs Biomed. 2021 Apr;202:105996. doi: 10.1016/j.cmpb.2021.105996. Epub 2021 Feb 15.","Yaşar Ş","Comput Methods Programs Biomed","2021","2021/02/25","PMC7882428","","10.1016/j.cmpb.2021.105996"
"33631276","Evaluating the Traditional Chinese Medicine (TCM) Officially Recommended in China for COVID-19 Using Ontology-Based Side-Effect Prediction Framework (OSPF) and Deep Learning","Wang Z, Li L, Song M, Yan J, Shi J, Yao Y.","J Ethnopharmacol. 2021 May 23;272:113957. doi: 10.1016/j.jep.2021.113957. Epub 2021 Feb 22.","Wang Z","J Ethnopharmacol","2021","2021/02/25","PMC7899032","","10.1016/j.jep.2021.113957"
"33630951","Monitoring social distancing under various low light conditions with deep learning and a single motionless time of flight camera","Rahim A, Maqbool A, Rana T.","PLoS One. 2021 Feb 25;16(2):e0247440. doi: 10.1371/journal.pone.0247440. eCollection 2021.","Rahim A","PLoS One","2021","2021/02/25","PMC7906321","","10.1371/journal.pone.0247440"
"33630869","A performance comparison of supervised machine learning models for Covid-19 tweets sentiment analysis","Rustam F, Khalid M, Aslam W, Rupapara V, Mehmood A, Choi GS.","PLoS One. 2021 Feb 25;16(2):e0245909. doi: 10.1371/journal.pone.0245909. eCollection 2021.","Rustam F","PLoS One","2021","2021/02/25","PMC7906356","","10.1371/journal.pone.0245909"
"33629156","A deep learning algorithm using CT images to screen for Corona virus disease (COVID-19)","Wang S, Kang B, Ma J, Zeng X, Xiao M, Guo J, Cai M, Yang J, Li Y, Meng X, Xu B.","Eur Radiol. 2021 Aug;31(8):6096-6104. doi: 10.1007/s00330-021-07715-1. Epub 2021 Feb 24.","Wang S","Eur Radiol","2021","2021/02/25","PMC7904034","","10.1007/s00330-021-07715-1"
"33626053","SOM-LWL method for identification of COVID-19 on chest X-rays","Osman AH, Aljahdali HM, Altarrazi SM, Ahmed A.","PLoS One. 2021 Feb 24;16(2):e0247176. doi: 10.1371/journal.pone.0247176. eCollection 2021.","Osman AH","PLoS One","2021","2021/02/24","PMC7904146","","10.1371/journal.pone.0247176"
"33613111","A rapid screening classifier for diagnosing COVID-19","Xia Y, Chen W, Ren H, Zhao J, Wang L, Jin R, Zhou J, Wang Q, Yan F, Zhang B, Lou J, Wang S, Li X, Zhou J, Xia L, Jin C, Feng J, Li W, Shen H.","Int J Biol Sci. 2021 Jan 9;17(2):539-548. doi: 10.7150/ijbs.53982. eCollection 2021.","Xia Y","Int J Biol Sci","2021","2021/02/22","PMC7893593","","10.7150/ijbs.53982"
"33604961","A convolutional neural network architecture for the recognition of cutaneous manifestations of COVID-19","Mathur J, Chouhan V, Pangti R, Kumar S, Gupta S.","Dermatol Ther. 2021 Mar;34(2):e14902. doi: 10.1111/dth.14902. Epub 2021 Feb 28.","Mathur J","Dermatol Ther","2021","2021/02/19","PMC7995139","","10.1111/dth.14902"
"33603047","Assisting scalable diagnosis automatically via CT images in the combat against COVID-19","Liu B, Liu P, Dai L, Yang Y, Xie P, Tan Y, Du J, Shan W, Zhao C, Zhong Q, Lin X, Guan X, Xing N, Sun Y, Wang W, Zhang Z, Fu X, Fan Y, Li M, Zhang N, Li L, Liu Y, Xu L, Du J, Zhao Z, Hu X, Fan W, Wang R, Wu C, Nie Y, Cheng L, Ma L, Li Z, Jia Q, Liu M, Guo H, Huang G, Shen H, Zhang L, Zhang P, Guo G, Li H, An W, Zhou J, He K.","Sci Rep. 2021 Feb 18;11(1):4145. doi: 10.1038/s41598-021-83424-5.","Liu B","Sci Rep","2021","2021/02/19","PMC7892869","","10.1038/s41598-021-83424-5"
"33600316","JCS: An Explainable COVID-19 Diagnosis System by Joint Classification and Segmentation","Wu YH, Gao SH, Mei J, Xu J, Fan DP, Zhang RG, Cheng MM.","IEEE Trans Image Process. 2021;30:3113-3126. doi: 10.1109/TIP.2021.3058783. Epub 2021 Feb 24.","Wu YH","IEEE Trans Image Process","2021","2021/02/18","","","10.1109/TIP.2021.3058783"
"33594159","A deep learning integrated radiomics model for identification of coronavirus disease 2019 using computed tomography","Zhang X, Wang D, Shao J, Tian S, Tan W, Ma Y, Xu Q, Ma X, Li D, Chai J, Wang D, Liu W, Lin L, Wu J, Xia C, Zhang Z.","Sci Rep. 2021 Feb 16;11(1):3938. doi: 10.1038/s41598-021-83237-6.","Zhang X","Sci Rep","2021","2021/02/17","PMC7886892","","10.1038/s41598-021-83237-6"
"33588121","A novel multiple instance learning framework for COVID-19 severity assessment via data augmentation and self-supervised learning","Li Z, Zhao W, Shi F, Qi L, Xie X, Wei Y, Ding Z, Gao Y, Wu S, Liu J, Shi Y, Shen D.","Med Image Anal. 2021 Apr;69:101978. doi: 10.1016/j.media.2021.101978. Epub 2021 Feb 3.","Li Z","Med Image Anal","2021","2021/02/15","PMC7857016","","10.1016/j.media.2021.101978"
"33587262","DON: Deep Learning and Optimization-Based Framework for Detection of Novel Coronavirus Disease Using X-ray Images","Dhiman G, Vinoth Kumar V, Kaur A, Sharma A.","Interdiscip Sci. 2021 Jun;13(2):260-272. doi: 10.1007/s12539-021-00418-7. Epub 2021 Feb 15.","Dhiman G","Interdiscip Sci","2021","2021/02/15","PMC7882874","","10.1007/s12539-021-00418-7"
"33571095","An Uncertainty-Aware Transfer Learning-Based Framework for COVID-19 Diagnosis","Shamsi A, Asgharnezhad H, Jokandan SS, Khosravi A, Kebria PM, Nahavandi D, Nahavandi S, Srinivasan D.","IEEE Trans Neural Netw Learn Syst. 2021 Apr;32(4):1408-1417. doi: 10.1109/TNNLS.2021.3054306. Epub 2021 Apr 2.","Shamsi A","IEEE Trans Neural Netw Learn Syst","2021","2021/02/11","","","10.1109/TNNLS.2021.3054306"
"33565027","Classification of COVID-19 by Compressed Chest CT Image through Deep Learning on a Large Patients Cohort","Zhu Z, Xingming Z, Tao G, Dan T, Li J, Chen X, Li Y, Zhou Z, Zhang X, Zhou J, Chen D, Wen H, Cai H.","Interdiscip Sci. 2021 Mar;13(1):73-82. doi: 10.1007/s12539-020-00408-1. Epub 2021 Feb 9.","Zhu Z","Interdiscip Sci","2021","2021/02/10","PMC7872116","","10.1007/s12539-020-00408-1"
"33560995","Multiscale Attention Guided Network for COVID-19 Diagnosis Using Chest X-Ray Images","Li J, Wang Y, Wang S, Wang J, Liu J, Jin Q, Sun L.","IEEE J Biomed Health Inform. 2021 May;25(5):1336-1346. doi: 10.1109/JBHI.2021.3058293. Epub 2021 May 11.","Li J","IEEE J Biomed Health Inform","2021","2021/02/09","","","10.1109/JBHI.2021.3058293"
"33557818","Predicting COVID-19 disease progression and patient outcomes based on temporal deep learning","Sun C, Hong S, Song M, Li H, Wang Z.","BMC Med Inform Decis Mak. 2021 Feb 8;21(1):45. doi: 10.1186/s12911-020-01359-9.","Sun C","BMC Med Inform Decis Mak","2021","2021/02/09","PMC7869774","","10.1186/s12911-020-01359-9"
"33557772","COVID-19 lung CT image segmentation using deep learning methods: U-Net versus SegNet","Saood A, Hatem I.","BMC Med Imaging. 2021 Feb 9;21(1):19. doi: 10.1186/s12880-020-00529-5.","Saood A","BMC Med Imaging","2021","2021/02/09","PMC7870362","","10.1186/s12880-020-00529-5"
"33547380","PACIFIC: a lightweight deep-learning classifier of SARS-CoV-2 and co-infecting RNA viruses","Acera Mateos P, Balboa RF, Easteal S, Eyras E, Patel HR.","Sci Rep. 2021 Feb 5;11(1):3209. doi: 10.1038/s41598-021-82043-4.","Acera Mateos P","Sci Rep","2021","2021/02/06","PMC7864945","","10.1038/s41598-021-82043-4"
"33547334","An in silico deep learning approach to multi-epitope vaccine design: a SARS-CoV-2 case study","Yang Z, Bogdan P, Nazarian S.","Sci Rep. 2021 Feb 5;11(1):3238. doi: 10.1038/s41598-021-81749-9.","Yang Z","Sci Rep","2021","2021/02/06","PMC7865008","","10.1038/s41598-021-81749-9"
"33544680","Anam-Net: Anamorphic Depth Embedding-Based Lightweight CNN for Segmentation of Anomalies in COVID-19 Chest CT Images","Paluru N, Dayal A, Jenssen HB, Sakinis T, Cenkeramaddi LR, Prakash J, Yalavarthy PK.","IEEE Trans Neural Netw Learn Syst. 2021 Mar;32(3):932-946. doi: 10.1109/TNNLS.2021.3054746. Epub 2021 Mar 1.","Paluru N","IEEE Trans Neural Netw Learn Syst","2021","2021/02/05","","","10.1109/TNNLS.2021.3054746"
"33532975","Six artificial intelligence paradigms for tissue characterisation and classification of non-COVID-19 pneumonia against COVID-19 pneumonia in computed tomography lungs","Saba L, Agarwal M, Patrick A, Puvvula A, Gupta SK, Carriero A, Laird JR, Kitas GD, Johri AM, Balestrieri A, Falaschi Z, Paschè A, Viswanathan V, El-Baz A, Alam I, Jain A, Naidu S, Oberleitner R, Khanna NN, Bit A, Fatemi M, Alizad A, Suri JS.","Int J Comput Assist Radiol Surg. 2021 Mar;16(3):423-434. doi: 10.1007/s11548-021-02317-0. Epub 2021 Feb 3.","Saba L","Int J Comput Assist Radiol Surg","2021","2021/02/03","PMC7854027","","10.1007/s11548-021-02317-0"
"33529154","Fast and Accurate Detection of COVID-19 Along With 14 Other Chest Pathologies Using a Multi-Level Classification: Algorithm Development and Validation Study","Albahli S, Yar GNAH.","J Med Internet Res. 2021 Feb 10;23(2):e23693. doi: 10.2196/23693.","Albahli S","J Med Internet Res","2021","2021/02/02","PMC7879720","","10.2196/23693"
"33527788","Quantitative Assessment of Chest CT Patterns in COVID-19 and Bacterial Pneumonia Patients: a Deep Learning Perspective","Kang M, Hong KS, Chikontwe P, Luna M, Jang JG, Park J, Shin KC, Park SH, Ahn JH.","J Korean Med Sci. 2021 Feb 1;36(5):e46. doi: 10.3346/jkms.2021.36.e46.","Kang M","J Korean Med Sci","2021","2021/02/02","PMC7850864","","10.3346/jkms.2021.36.e46"
"33526778","Addendum: Early triage of critically ill COVID-19 patients using deep learning","Liang W, Yao J, Chen A, Lv Q, Zanin M, Liu J, Wong S, Li Y, Lu J, Liang H, Chen G, Guo H, Guo J, Zhou R, Ou L, Zhou N, Chen H, Yang F, Han X, Huan W, Tang W, Guan W, Chen Z, Zhao Y, Sang L, Xu Y, Wang W, Li S, Lu L, Zhang N, Zhong N, Huang J, He J.","Nat Commun. 2021 Feb 1;12(1):826. doi: 10.1038/s41467-021-21044-3.","Liang W","Nat Commun","2021","2021/02/02","PMC7849611","","10.1038/s41467-021-21044-3"
"33523309","Diagnosis of COVID-19 using CT scan images and deep learning techniques","Shah V, Keniya R, Shridharani A, Punjabi M, Shah J, Mehendale N.","Emerg Radiol. 2021 Jun;28(3):497-505. doi: 10.1007/s10140-020-01886-y. Epub 2021 Feb 1.","Shah V","Emerg Radiol","2021","2021/02/01","PMC7848247","","10.1007/s10140-020-01886-y"
"33513984","Machine and Deep Learning towards COVID-19 Diagnosis and Treatment: Survey, Challenges, and Future Directions","Alafif T, Tehame AM, Bajaba S, Barnawi A, Zia S.","Int J Environ Res Public Health. 2021 Jan 27;18(3):1117. doi: 10.3390/ijerph18031117.","Alafif T","Int J Environ Res Public Health","2021","2021/01/30","PMC7908539","","10.3390/ijerph18031117"
"33513487","Prediction of death status on the course of treatment in SARS-COV-2 patients with deep learning and machine learning methods","Kivrak M, Guldogan E, Colak C.","Comput Methods Programs Biomed. 2021 Apr;201:105951. doi: 10.1016/j.cmpb.2021.105951. Epub 2021 Jan 22.","Kivrak M","Comput Methods Programs Biomed","2021","2021/01/29","PMC7826038","","10.1016/j.cmpb.2021.105951"
"33488691","Deep Ensemble Model for Classification of Novel Coronavirus in Chest X-Ray Images","Ahmad F, Farooq A, Ghani MU.","Comput Intell Neurosci. 2021 Jan 5;2021:8890226. doi: 10.1155/2021/8890226. eCollection 2021.","Ahmad F","Comput Intell Neurosci","2021","2021/01/25","PMC7805527","","10.1155/2021/8890226"
"33504775","Integrating deep learning CT-scan model, biological and clinical variables to predict severity of COVID-19 patients","Lassau N, Ammari S, Chouzenoux E, Gortais H, Herent P, Devilder M, Soliman S, Meyrignac O, Talabard MP, Lamarque JP, Dubois R, Loiseau N, Trichelair P, Bendjebbar E, Garcia G, Balleyguier C, Merad M, Stoclin A, Jegou S, Griscelli F, Tetelboum N, Li Y, Verma S, Terris M, Dardouri T, Gupta K, Neacsu A, Chemouni F, Sefta M, Jehanno P, Bousaid I, Boursin Y, Planchet E, Azoulay M, Dachary J, Brulport F, Gonzalez A, Dehaene O, Schiratti JB, Schutte K, Pesquet JC, Talbot H, Pronier E, Wainrib G, Clozel T, Barlesi F, Bellin MF, Blum MGB.","Nat Commun. 2021 Jan 27;12(1):634. doi: 10.1038/s41467-020-20657-4.","Lassau N","Nat Commun","2021","2021/01/28","PMC7840774","","10.1038/s41467-020-20657-4"
"33496876","A Novel Block Imaging Technique Using Nine Artificial Intelligence Models for COVID-19 Disease Classification, Characterization and Severity Measurement in Lung Computed Tomography Scans on an Italian Cohort","Agarwal M, Saba L, Gupta SK, Carriero A, Falaschi Z, Paschè A, Danna P, El-Baz A, Naidu S, Suri JS.","J Med Syst. 2021 Jan 26;45(3):28. doi: 10.1007/s10916-021-01707-w.","Agarwal M","J Med Syst","2021","2021/01/26","PMC7835451","","10.1007/s10916-021-01707-w"
"33492267","Computer aid screening of COVID-19 using X-ray and CT scan images: An inner comparison","Sethy PK, Behera SK, Anitha K, Pandey C, Khan MR.","J Xray Sci Technol. 2021;29(2):197-210. doi: 10.3233/XST-200784.","Sethy PK","J Xray Sci Technol","2021","2021/01/25","","","10.3233/XST-200784"
"33486527","STAN: spatio-temporal attention network for pandemic prediction using real-world evidence","Gao J, Sharma R, Qian C, Glass LM, Spaeder J, Romberg J, Sun J, Xiao C.","J Am Med Inform Assoc. 2021 Mar 18;28(4):733-743. doi: 10.1093/jamia/ocaa322.","Gao J","J Am Med Inform Assoc","2021","2021/01/24","PMC7928935","","10.1093/jamia/ocaa322"
"33481459","Automated Detection and Quantification of COVID-19 Airspace Disease on Chest Radiographs: A Novel Approach Achieving Expert Radiologist-Level Performance Using a Deep Convolutional Neural Network Trained on Digital Reconstructed Radiographs From Computed Tomography-Derived Ground Truth","Mortani Barbosa EJ Jr, Gefter WB, Ghesu FC, Liu S, Mailhe B, Mansoor A, Grbic S, Vogt S.","Invest Radiol. 2021 Aug 1;56(8):471-479. doi: 10.1097/RLI.0000000000000763.","Mortani Barbosa EJ Jr","Invest Radiol","2021","2021/01/22","","","10.1097/RLI.0000000000000763"
"33472571","Prediction of adverse drug reactions using drug convolutional neural networks","Mantripragada AS, Teja SP, Katasani RR, Joshi P, V M, Ramesh R.","J Bioinform Comput Biol. 2021 Feb;19(1):2050046. doi: 10.1142/S0219720020500468. Epub 2021 Jan 20.","Mantripragada AS","J Bioinform Comput Biol","2021","2021/01/21","","","10.1142/S0219720020500468"
"33459907","Automated processing of social media content for radiologists: applied deep learning to radiological content on twitter during COVID-19 pandemic","Khurana S, Chopra R, Khurana B.","Emerg Radiol. 2021 Jun;28(3):477-483. doi: 10.1007/s10140-020-01885-z. Epub 2021 Jan 18.","Khurana S","Emerg Radiol","2021","2021/01/18","PMC7811945","","10.1007/s10140-020-01885-z"
